Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
288151,AP,ADMS,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Business,AP,ADMS,N,Y,N,K,EN,23,35,35,AP,ADMS,BLEN,1,W,MA,EN,23,35,35,F,13:00,110,,MK,5000,48,,Course Director:,Section Director: 102121839  Kar Anirban,Meet Instructor: 102121839  Kar Anirban,888578
286673,AP,MODR,1770,,6,6,6,EN,2025,FW,AP,Y,Modes of Reasoning: Techniques of Persuasion,AP,PHIL,N,N,N,E,EN,48,48,48,AP,PHIL,LECT,1,W,MA,EN,48,48,48,F,14:30,170,9,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,895439
306590,GS,BIOT,5020,,3,3,3,EN,2025,FW,GS,F,Science Communication and Writing,GS,BIOL,N,N,N,A,EN,32,40,40,GS,BIOL,BLEN,1,W,MA,EN,32,40,40,F,16:00,110,9,MK,5000,48,,Course Director:,Section Director: 102128609  Puentes Jacome Luz Adriana,Meet Instructor: 102128609  Puentes Jacome Luz Adriana,865909
308618,LE,CSSD,2102,,4,4,4,EN,2025,FW,LE,F,Data Structures & Algorithms,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,1,W,MA,EN,38,48,48,F,10:00,110,,MK,4005,48,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893420
308618,LE,CSSD,2102,,4,4,4,EN,2025,FW,LE,F,Data Structures & Algorithms,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,2,W,MA,EN,36,48,48,F,10:00,110,,MK,4010,48,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893421
308618,LE,CSSD,2102,,4,4,4,EN,2025,FW,LE,F,Data Structures & Algorithms,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,F,10:00,110,1,MK,4000,32,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893422
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LECT,1,W,MA,EN,76,96,96,F,13:00,50,,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893432
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,1,W,MA,EN,38,48,48,F,14:00,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893426
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,2,W,MA,EN,38,48,48,F,14:00,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893428
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,F,14:00,110,1,MK,4000,32,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893430
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LECT,1,W,MA,EN,76,96,96,F,13:00,50,,MK,2055,100,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893440
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,1,W,MA,EN,38,48,48,F,14:00,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893434
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,2,W,MA,EN,38,48,48,F,14:00,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893436
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,F,14:00,110,1,MK,4000,32,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893438
308622,LE,CSSD,2105,,1,1,1,EN,2025,FW,LE,M5,Programming in Assembly,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LECT,1,W,MA,EN,74,96,96,F,13:00,50,,MK,2055,100,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893448
308622,LE,CSSD,2105,,1,1,1,EN,2025,FW,LE,M5,Programming in Assembly,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,1,W,MA,EN,37,48,48,F,14:00,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893442
308622,LE,CSSD,2105,,1,1,1,EN,2025,FW,LE,M5,Programming in Assembly,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,2,W,MA,EN,37,48,48,F,14:00,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893444
308622,LE,CSSD,2105,,1,1,1,EN,2025,FW,LE,M5,Programming in Assembly,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,F,14:00,110,1,MK,4000,32,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893446
308623,LE,CSSD,2106,,0.5,0.5,0.5,EN,2025,FW,LE,M6,"Testing, Debugging & Profiling C Code",LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LECT,1,W,MA,EN,76,96,96,F,13:00,50,,MK,2055,100,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893456
308623,LE,CSSD,2106,,0.5,0.5,0.5,EN,2025,FW,LE,M6,"Testing, Debugging & Profiling C Code",LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,1,W,MA,EN,37,48,48,F,14:00,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893450
308623,LE,CSSD,2106,,0.5,0.5,0.5,EN,2025,FW,LE,M6,"Testing, Debugging & Profiling C Code",LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,2,W,MA,EN,39,48,48,F,14:00,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893452
308623,LE,CSSD,2106,,0.5,0.5,0.5,EN,2025,FW,LE,M6,"Testing, Debugging & Profiling C Code",LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,F,14:00,110,1,MK,4000,32,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893454
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,F,15:00,170,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893271
307683,LE,DIGT,2102,,8,8,8,EN,2025,FW,LE,FS,"Data Structures, Algorithms & Analysis",LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,M,MA,EN,14,15,15,F,9:30,170,2,,,,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893294
309794,LE,DIGT,3101,,3,3,3,EN,2025,FW,LE,FS,Software Development Lifecycle,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,LAB,1,M,MA,EN,15,20,20,F,9:00,110,,,,,,Course Director:,Section Director: 102122087  Haidar May,Meet Instructor:,893315
309795,LE,DIGT,3107,,3,3,3,EN,2025,FW,LE,Y,Data Management Systems,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,LAB,1,M,MA,EN,15,20,20,F,12:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor:,893320
309787,LE,DIGT,3131,,3,3,3,EN,2025,FW,LE,Y,Introduction to Machine Learning I,LE,EECS,Y,N,N,A,EN,3,20,20,LE,EECS,LAB,1,M,MA,EN,3,20,20,F,15:00,110,2,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor:,893330
309790,LE,DIGT,3141,,3,3,3,EN,2025,FW,LE,Y,Software I: Software Design and Architecture,LE,EECS,Y,N,N,A,EN,8,20,20,LE,EECS,LAB,1,M,MA,EN,8,20,20,F,15:00,110,2,,,,,Course Director:,Section Director: 102088871  Fokaefs Marios,Meet Instructor:,893335
309799,LE,DIGT,3221,,3,3,3,EN,2025,FW,LE,Y,Security by Design,LE,EECS,Y,N,N,A,EN,4,20,20,LE,EECS,LAB,1,M,MA,EN,4,20,20,F,15:00,110,2,,,,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor:,893346
305982,LE,EECS,1011,,3,3,3,EN,2025,FW,LE,F,Computational Thinking Through Procedural Programming and Mechatronics,LE,EECS,Y,Y,N,I,EN,82,120,120,LE,EECS,LAB,3,W,MA,EN,24,24,24,F,14:30,170,,MK,4045,48,,Course Director:,Section Director: 102093820  Zhuang Kai,Meet Instructor:,882632
293894,SC,BIOL,1000,,3,3,3,EN,2025,FW,SC,F,"Biology I - Cells, Molecular Biology and Genetics",SC,BIOL,N,Y,N,E,EN,19,48,48,SC,BIOL,LECT,1,W,MA,EN,19,48,48,F,13:30,50,9,MK,5050,49,,Course Director:,Section Director: 102116694  Atallah Jade,Meet Instructor: 102116694  Atallah Jade,866041
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LECT,1,W,MA,EN,12,30,30,F,11:30,50,9,MK,4050,50,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor: 102094776  Kouyoumdjian Hovig,866052
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,TUTR,1,W,MA,EN,12,30,30,F,10:30,50,9,MK,4050,50,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor: 102094776  Kouyoumdjian Hovig,866054
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LAB,3,F,MA,EN,0,0,0,F,14:30,170,1,,,,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor:,866050
309525,SC,MATH,1025,,3,3,3,EN,2025,FW,SC,F,Applied Linear Algebra,SC,MATH,N,Y,N,H,EN,83,135,135,SC,MATH,LECT,1,W,MA,EN,83,135,135,F,13:30,50,9,MK,4070,137,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor: 102091479  Lumley Allysa,866082
309704,SC,MATH,1516,,3,3,3,EN,2025,FW,SC,F,General Mathematics for Software Development,SC,MATH,N,N,N,A,EN,49,96,96,SC,MATH,TUTR,1,W,MA,EN,35,48,48,F,11:00,80,,MK,2055,100,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor:,891029
309704,SC,MATH,1516,,3,3,3,EN,2025,FW,SC,F,General Mathematics for Software Development,SC,MATH,N,N,N,A,EN,49,96,96,SC,MATH,TUTR,2,W,MA,EN,14,48,48,F,9:30,80,,MK,2055,100,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor:,891031
308819,SC,NATS,1815,,3,3,3,EN,2025,FW,SC,F,The Science of Sustainable Energy,SC,NATS,N,N,N,B,EN,44,75,75,SC,NATS,LECT,1,W,MA,EN,44,75,75,F,10:00,170,9,MK,2065,100,,Course Director:,Section Director: 102033948  Hashemi Pour Banafsheh,Meet Instructor: 102033948  Hashemi Pour Banafsheh,897580
301203,SC,PHYS,1421,,3,3,3,EN,2025,FW,SC,F,Physics with Life Science Applications 1,SC,PHYS,N,N,N,B,EN,1,48,48,SC,PHYS,LECT,1,W,MA,EN,1,48,48,F,12:30,50,9,MK,5050,49,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor: 102014841  Orchard Gloria,866093
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,LECT,1,W,MA,EN,80,100,100,F,10:30,50,9,MK,2060,100,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor: 102014841  Orchard Gloria,866109
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,TUTR,1,W,MA,EN,80,100,100,F,11:30,50,9,MK,2060,100,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor: 102014841  Orchard Gloria,866110
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,LAB,1,W,MA,EN,24,24,24,F,14:30,170,9,MK,6035,24,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor:,866104
