Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
288151,AP,ADMS,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Business,AP,ADMS,N,Y,N,K,EN,23,35,35,AP,ADMS,BLEN,1,W,MA,EN,23,35,35,M,13:00,80,,MK,5000,48,,Course Director:,Section Director: 102121839  Kar Anirban,Meet Instructor: 102121839  Kar Anirban,888576
288151,AP,ADMS,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Business,AP,ADMS,N,Y,N,Q,EN,30,50,50,AP,ADMS,LECT,1,W,MA,EN,30,50,50,M,14:30,170,,MK,4050,50,,Course Director:,Section Director:,Meet Instructor:,888579
301608,AP,ADMS,2500,,3,3,3,EN,2025,FW,AP,F,Introduction to Financial Accounting,AP,ADMS,Y,Y,N,K,EN,50,60,60,AP,ADMS,LECT,1,W,MA,EN,50,60,60,M,14:30,170,,MK,2060,100,,Course Director:,Section Director: 102030970  Porporato Marcela,Meet Instructor: 102030970  Porporato Marcela,889469
288049,AP,ADMS,2511,,3,3,3,EN,2025,FW,AP,F,Management Information Systems,AP,ADMS,Y,Y,N,K,EN,32,50,50,AP,ADMS,LECT,1,W,MA,EN,32,50,50,M,11:30,170,,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,889471
306043,AP,CMDS,1666,,3,3,3,EN,2025,FW,AP,F,"Social Media, Public Relations and Society",AP,CMDS,N,N,N,A,EN,38,49,49,AP,CMDS,SEMR,1,W,MA,EN,38,49,49,M,14:30,170,,MK,4040,50,,Course Director:,Section Director: 102123625  Gehl Robert W,Meet Instructor: 102123625  Gehl Robert W,865664
307911,AP,SPRT,1030,,3,3,3,EN,2025,FW,AP,F,Sport in Society,AP,HRM,N,Y,N,A,EN,53,70,70,AP,HRM,LECT,1,W,MA,EN,53,70,70,M,9:30,170,,MK,2065,100,,Course Director:,Section Director: 102137313  Zipp Sarah R,Meet Instructor: 102137313  Zipp Sarah R,865778
309949,AP,SPRT,2010,,3,3,3,EN,2025,FW,AP,F,Sport Marketing,AP,HRM,Y,N,Y,A,EN,43,70,70,AP,HRM,LECT,1,W,MA,EN,43,70,70,M,14:30,170,,MK,2055,100,,Course Director:,Section Director: 102137313  Zipp Sarah R,Meet Instructor: 102137313  Zipp Sarah R,897593
277744,ED,EDFE,1100,,3,3,3,EN,2025,FW,ED,F,Child Development & Health,ED,ED,N,N,N,W,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,M,8:30,170,,MK,4045,48,,Course Director:,Section Director:,Meet Instructor:,898283
277744,ED,EDFE,1100,,3,3,3,EN,2025,FW,ED,F,Child Development & Health,ED,ED,N,N,N,X,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,M,11:30,170,,MK,4045,48,,Course Director:,Section Director:,Meet Instructor:,898284
277744,ED,EDFE,1100,,3,3,3,EN,2025,FW,ED,F,Child Development & Health,ED,ED,N,N,N,Y,EN,43,45,45,ED,ED,LECT,1,W,MA,EN,43,45,45,M,14:30,170,,MK,4045,48,,Course Director:,Section Director:,Meet Instructor:,898285
277744,ED,EDFE,1100,,3,3,3,EN,2025,FW,ED,F,Child Development & Health,ED,ED,N,N,N,Z,EN,42,45,45,ED,ED,LECT,1,W,MA,EN,42,45,45,M,11:30,170,,MK,4055,50,,Course Director:,Section Director:,Meet Instructor:,898286
300646,ED,EDPJ,1000,,3,3,3,EN,2025,FW,ED,F,Language & Literacy in the Primary-Junior Divisions,ED,ED,N,N,N,W,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,M,11:30,170,,MK,4040,50,,Course Director:,Section Director: 102137562  Burgis Emily,Meet Instructor: 102137562  Burgis Emily,898295
300646,ED,EDPJ,1000,,3,3,3,EN,2025,FW,ED,F,Language & Literacy in the Primary-Junior Divisions,ED,ED,N,N,N,X,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,M,8:30,170,,MK,4055,50,,Course Director:,Section Director: 102137562  Burgis Emily,Meet Instructor: 102137562  Burgis Emily,898296
300646,ED,EDPJ,1000,,3,3,3,EN,2025,FW,ED,F,Language & Literacy in the Primary-Junior Divisions,ED,ED,N,N,N,Y,EN,43,45,45,ED,ED,LECT,1,W,MA,EN,43,45,45,M,11:30,170,,MK,4095,50,,Course Director:,Section Director:,Meet Instructor:,898297
300646,ED,EDPJ,1000,,3,3,3,EN,2025,FW,ED,F,Language & Literacy in the Primary-Junior Divisions,ED,ED,N,N,N,Z,EN,42,45,45,ED,ED,LECT,1,W,MA,EN,42,45,45,M,14:30,170,,MK,4055,50,,Course Director:,Section Director:,Meet Instructor:,898298
308000,FA,CRTE,1100,,3,3,3,EN,2025,FW,FA,F,Methods for Creative Technologies I,FA,F.A.,N,N,N,A,EN,34,35,35,FA,F.A.,LECT,1,W,MA,EN,34,35,35,M,11:30,170,,MK,6015,36,,Course Director:,Section Director:,Meet Instructor:,892776
298086,GS,DMGM,5030,,1.5,1.5,1.5,EN,2025,FW,GS,FA,Manufacturing and Service Operations Management,GS,DMGM,N,N,N,A,EN,25,30,30,GS,DMGM,LECT,1,W,MA,EN,25,30,30,M,19:00,180,2,MK,4100,52,,Course Director:,Section Director: 102030557  Huang Rongbing,Meet Instructor: 102030557  Huang Rongbing,891005
298087,GS,DMGM,5040,,1.5,1.5,1.5,EN,2025,FW,GS,FB,Financial and Management Accounting,GS,DMGM,N,N,N,A,EN,24,30,30,GS,DMGM,LECT,1,W,MA,EN,24,30,30,M,16:00,180,2,MK,5050,49,,Course Director:,Section Director: 102110929  Hu Zidi,Meet Instructor: 102110929  Hu Zidi,891006
298057,GS,MSMG,6120,,3,3,3,EN,2025,FW,GS,F,A primer on Analytics for the Broad Accounting Function,GS,FAS,N,N,N,A,EN,12,12,12,GS,FAS,LECT,1,W,MA,EN,12,12,12,M,19:00,180,2,MK,5035,25,,Course Director:,Section Director:,Meet Instructor:,871587
298073,GS,MSMG,6510,,3,3,3,EN,2025,FW,GS,F,Analytics for Supply Chain Management,GS,FAS,N,N,N,A,EN,5,12,12,GS,FAS,LECT,1,W,MA,EN,5,12,12,M,16:00,180,2,MK,5035,25,,Course Director:,Section Director: 102030557  Huang Rongbing,Meet Instructor: 102030557  Huang Rongbing,871593
255776,GS,PPAL,6000,,3,3,3,EN,2025,FW,GS,F,Public Management,GS,PPAL,N,N,N,C,EN,30,30,30,GS,PPAL,SEMR,1,W,MA,EN,30,30,30,M,19:00,170,9,MK,5050,49,,Course Director:,Section Director: 101036079  Constantinou Peter,Meet Instructor: 101036079  Constantinou Peter,860705
305861,LE,CSSD,1050,,3,3,3,EN,2025,FW,LE,F,Introduction to Computer Programming (CS0),LE,EECS,N,N,N,A,EN,16,48,48,LE,EECS,BLEN,1,W,MA,EN,16,48,0,M,10:00,110,,,,,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor: 102122394  Qin Meiying,896156
305861,LE,CSSD,1050,,3,3,3,EN,2025,FW,LE,F,Introduction to Computer Programming (CS0),LE,EECS,N,N,N,A,EN,16,48,48,LE,EECS,LAB,1,W,MA,EN,16,48,48,M,12:30,110,,MK,4005,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,896157
305861,LE,CSSD,1050,,3,3,3,EN,2025,FW,LE,F,Introduction to Computer Programming (CS0),LE,EECS,N,N,N,A,EN,16,48,48,LE,EECS,LAB,2,W,MA,EN,0,0,0,M,12:30,110,1,MK,4010,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,896158
308540,LE,CSSD,2101,,4,4,4,EN,2025,FW,LE,F,Object-Oriented Programming,LE,EECS,Y,N,Y,A,EN,74,96,96,LE,EECS,LECT,1,W,MA,EN,74,96,96,M,10:00,110,,MK,2055,100,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor: 102031586  Mohaghegh Navid,893419
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,BLEN,1,M,MA,EN,23,28,28,M,14:30,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893266
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,M,16:00,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893268
304621,LE,DIGT,1161,,2,2,2,EN,2025,FW,LE,Y,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,23,28,28,LE,EECS,BLEN,1,M,MA,EN,23,28,28,M,9:30,50,2,,,,,Course Director:,Section Director:,Meet Instructor:,893273
304621,LE,DIGT,1161,,2,2,2,EN,2025,FW,LE,Y,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,M,10:30,80,2,,,,,Course Director:,Section Director:,Meet Instructor:,893275
307683,LE,DIGT,2102,,8,8,8,EN,2025,FW,LE,FS,"Data Structures, Algorithms & Analysis",LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,BLEN,1,M,MA,EN,14,15,15,M,9:30,80,2,,,,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor: 102116533  Zhang Larry Yueli,893290
307683,LE,DIGT,2102,,8,8,8,EN,2025,FW,LE,FS,"Data Structures, Algorithms & Analysis",LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,M,MA,EN,14,15,15,M,11:00,80,2,,,,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893292
307681,LE,DIGT,2103,,4,4,4,EN,2025,FW,LE,Y,Introduction to Computer Organization & Systems,LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,BLEN,1,M,MA,EN,14,15,15,M,13:30,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893295
307681,LE,DIGT,2103,,4,4,4,EN,2025,FW,LE,Y,Introduction to Computer Organization & Systems,LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,W,MA,EN,14,15,15,M,15:00,110,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893298
309794,LE,DIGT,3101,,3,3,3,EN,2025,FW,LE,FS,Software Development Lifecycle,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,BLEN,1,M,MA,EN,15,20,20,M,14:00,50,,,,,,Course Director:,Section Director: 102122087  Haidar May,Meet Instructor: 102122087  Haidar May,893312
309794,LE,DIGT,3101,,3,3,3,EN,2025,FW,LE,FS,Software Development Lifecycle,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,LAB,1,M,MA,EN,15,20,20,M,15:00,50,,,,,,Course Director:,Section Director: 102122087  Haidar May,Meet Instructor:,893313
309795,LE,DIGT,3107,,3,3,3,EN,2025,FW,LE,Y,Data Management Systems,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,BLEN,1,M,MA,EN,15,20,20,M,9:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor: 102111441  Vashisth Pooja,893316
309795,LE,DIGT,3107,,3,3,3,EN,2025,FW,LE,Y,Data Management Systems,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,LAB,1,M,MA,EN,15,20,20,M,11:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor:,893318
309799,LE,DIGT,3221,,3,3,3,EN,2025,FW,LE,Y,Security by Design,LE,EECS,Y,N,N,A,EN,4,20,20,LE,EECS,BLEN,1,M,MA,EN,4,20,20,M,16:00,110,,,,,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor: 102031586  Mohaghegh Navid,893342
305982,LE,EECS,1011,,3,3,3,EN,2025,FW,LE,F,Computational Thinking Through Procedural Programming and Mechatronics,LE,EECS,Y,Y,N,I,EN,82,120,120,LE,EECS,LECT,1,W,MA,EN,82,120,120,M,11:30,50,,MK,4070,137,,Course Director:,Section Director: 102093820  Zhuang Kai,Meet Instructor: 102093820  Zhuang Kai,882634
305982,LE,EECS,1011,,3,3,3,EN,2025,FW,LE,F,Computational Thinking Through Procedural Programming and Mechatronics,LE,EECS,Y,Y,N,I,EN,82,120,120,LE,EECS,LAB,1,W,MA,EN,24,24,24,M,14:30,170,,MK,4010,48,,Course Director:,Section Director: 102093820  Zhuang Kai,Meet Instructor:,882630
302399,LE,ENG,1101,,4,4,4,EN,2025,FW,LE,F,"Renaissance Engineer 1: Ethics, Communication & Problem Solving",LE,ENG,N,Y,N,H,EN,82,120,120,LE,ENG,TUTR,4,W,MA,EN,1,24,24,M,14:30,110,,MK,4000,32,,Course Director: 102099581  Harris Jeffrey,Section Director: 102093820  Zhuang Kai,Meet Instructor:,898948
293894,SC,BIOL,1000,,3,3,3,EN,2025,FW,SC,F,"Biology I - Cells, Molecular Biology and Genetics",SC,BIOL,N,Y,N,E,EN,19,48,48,SC,BIOL,LECT,1,W,MA,EN,19,48,48,M,13:30,50,9,MK,5050,49,,Course Director:,Section Director: 102116694  Atallah Jade,Meet Instructor: 102116694  Atallah Jade,866040
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LECT,1,W,MA,EN,12,30,30,M,11:30,50,9,MK,4050,50,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor: 102094776  Kouyoumdjian Hovig,866051
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LAB,1,F,MA,EN,12,30,30,M,14:30,170,9,MK,6065,32,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor:,866048
309525,SC,MATH,1025,,3,3,3,EN,2025,FW,SC,F,Applied Linear Algebra,SC,MATH,N,Y,N,H,EN,83,135,135,SC,MATH,LECT,1,W,MA,EN,83,135,135,M,13:30,50,9,MK,4070,137,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor: 102091479  Lumley Allysa,866080
298954,SC,MATH,1506,,3,3,3,EN,2025,FW,SC,F,Mathematics I for the Biological and Health Sciences,SC,MATH,N,Y,N,I,EN,26,50,50,SC,MATH,LECT,1,W,MA,EN,26,50,50,M,9:00,80,9,MK,4050,50,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor: 102091479  Lumley Allysa,866083
