Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
307755,AP,CMDS,1630,,3,3,3,EN,2025,FW,AP,F,Video Gaming and Society,AP,CMDS,N,N,N,A,EN,94,100,100,AP,CMDS,LECT,1,W,MA,EN,94,100,100,R,10:30,110,,MK,2060,100,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor: 102099763  Chalk Alex,865659
307755,AP,CMDS,1630,,3,3,3,EN,2025,FW,AP,F,Video Gaming and Society,AP,CMDS,N,N,N,A,EN,94,100,100,AP,CMDS,TUTR,1,W,MA,EN,25,25,25,R,12:30,50,,MK,5035,25,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor:,865660
307755,AP,CMDS,1630,,3,3,3,EN,2025,FW,AP,F,Video Gaming and Society,AP,CMDS,N,N,N,A,EN,94,100,100,AP,CMDS,TUTR,2,W,MA,EN,25,25,25,R,14:30,50,,MK,5035,25,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor:,865661
307755,AP,CMDS,1630,,3,3,3,EN,2025,FW,AP,F,Video Gaming and Society,AP,CMDS,N,N,N,A,EN,94,100,100,AP,CMDS,TUTR,3,W,MA,EN,19,25,25,R,15:30,50,,MK,5035,25,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor:,865662
307755,AP,CMDS,1630,,3,3,3,EN,2025,FW,AP,F,Video Gaming and Society,AP,CMDS,N,N,N,A,EN,94,100,100,AP,CMDS,TUTR,4,W,MA,EN,25,25,25,R,13:30,50,,MK,5035,25,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor:,865663
305641,AP,CMDS,2700,,3,3,3,EN,2025,FW,AP,F,"Media, Culture and Society",AP,CMDS,N,N,N,B,EN,20,49,49,AP,CMDS,SEMR,1,W,MA,EN,20,49,49,R,14:30,170,,MK,5050,49,,Course Director:,Section Director: 102127856  Laywine Nathaniel,Meet Instructor: 102127856  Laywine Nathaniel,865669
309953,AP,SPRT,2050,,3,3,3,EN,2025,FW,AP,F,Development of Canadian Sport,AP,HRM,N,N,N,A,EN,31,70,70,AP,HRM,LECT,1,W,MA,EN,31,70,70,R,9:30,170,,MK,2065,100,,Course Director:,Section Director: 102008066  Supruniuk Tracy Andrew,Meet Instructor: 102008066  Supruniuk Tracy Andrew,892770
300640,ED,EDFE,1300,,3,3,3,EN,2025,FW,ED,F,"Inclusion, Disabilities and Education",ED,ED,N,N,N,W,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,R,8:30,170,,MK,4050,50,,Course Director:,Section Director:,Meet Instructor:,898287
300640,ED,EDFE,1300,,3,3,3,EN,2025,FW,ED,F,"Inclusion, Disabilities and Education",ED,ED,N,N,N,X,EN,45,45,45,ED,ED,LECT,1,W,MA,EN,45,45,45,R,11:30,170,,MK,4050,50,,Course Director:,Section Director:,Meet Instructor:,898288
300640,ED,EDFE,1300,,3,3,3,EN,2025,FW,ED,F,"Inclusion, Disabilities and Education",ED,ED,N,N,N,Y,EN,43,45,45,ED,ED,LECT,1,W,MA,EN,43,45,45,R,14:30,170,,MK,4045,48,,Course Director:,Section Director:,Meet Instructor:,898289
