Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
288151,AP,ADMS,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Business,AP,ADMS,N,Y,N,K,EN,23,35,35,AP,ADMS,BLEN,1,W,MA,EN,23,35,35,T,13:00,80,,MK,5000,48,,Course Director:,Section Director: 102121839  Kar Anirban,Meet Instructor: 102121839  Kar Anirban,888577
305752,AP,CMDS,1000,,6,6,6,EN,2025,FW,AP,Y,Introduction to Communication & Media,AP,CMDS,N,N,N,B,EN,46,49,49,AP,CMDS,SEMR,1,W,MA,EN,46,49,49,T,11:30,170,,MK,5050,49,,Course Director:,Section Director: 102019712  Taylor Nicholas,Meet Instructor: 102019712  Taylor Nicholas,865656
305630,AP,CMDS,2100,,3,3,3,EN,2025,FW,AP,F,Foundational Communication & Media Theory,AP,CMDS,N,N,N,A,EN,15,49,49,AP,CMDS,SEMR,1,W,MA,EN,15,49,49,T,11:30,170,,MK,4050,50,,Course Director:,Section Director: 102117072  Singh Rianka,Meet Instructor: 102117072  Singh Rianka,865665
310268,AP,FINT,2210,,3,3,3,EN,2025,FW,AP,F,Object-Oriented Programming for Financial Technologies,AP,ITEC,Y,Y,Y,A,EN,7,35,35,AP,ITEC,LECT,1,W,MA,EN,7,35,35,T,19:00,170,2,MK,4005,48,,Course Director:,Section Director:,Meet Instructor:,895447
286673,AP,MODR,1770,,6,6,6,EN,2025,FW,AP,Y,Modes of Reasoning: Techniques of Persuasion,AP,PHIL,N,N,N,D,EN,48,48,48,AP,PHIL,LECT,1,W,MA,EN,48,48,48,T,14:30,170,9,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,895438
310146,AP,SPRT,2060,,3,3,3,EN,2025,FW,AP,F,"Sport, Social Media and Public Relations",AP,HRM,Y,N,N,A,EN,44,70,70,AP,HRM,LECT,1,W,MA,EN,44,70,70,T,9:30,170,2,MK,2055,100,,Course Director:,Section Director: 102137513  Coratti Stephanie,Meet Instructor: 102137513  Coratti Stephanie,897921
310180,FA,CRTE,2800,,3,3,3,EN,2025,FW,FA,F,Media City Stories,FA,F.A.,N,N,N,A,EN,27,35,35,FA,F.A.,LECT,1,W,MA,EN,27,35,35,T,11:30,170,2,MK,6015,36,,Course Director:,Section Director: 102010935  Darroch Michael,Meet Instructor: 102010935  Darroch Michael,894596
302649,FA,PANF,2103,,3,3,3,EN,2025,FW,FA,F,Augmented Listening and Applied Sound,FA,F.A.,N,N,N,A,EN,25,25,25,FA,F.A.,LECT,1,W,MA,EN,25,25,25,T,17:00,80,,MK,6075,36,,Course Director:,Section Director: 102116768  Caines Rebecca,Meet Instructor: 102116768  Caines Rebecca,892785
306588,GS,BIOT,5010,,3,3,3,EN,2025,FW,GS,F,Introduction to Biotechnology Practices,GS,BIOL,N,N,N,A,EN,32,40,40,GS,BIOL,LECT,1,W,MA,EN,32,40,40,T,16:00,170,9,MK,5000,48,,Course Director:,Section Director: 102128609  Puentes Jacome Luz Adriana,Meet Instructor: 102128609  Puentes Jacome Luz Adriana,865907
298072,GS,MSMG,6470,,3,3,3,EN,2025,FW,GS,F,Special Topics in Marketing,GS,FAS,N,N,N,A,EN,8,12,12,GS,FAS,LECT,1,W,MA,EN,8,12,12,T,16:00,180,2,MK,5035,25,,Course Director:,Section Director: 102011627  Li Lee Zhixiong,Meet Instructor: 102011627  Li Lee Zhixiong,871592
289078,GS,PPAL,6210,,3,3,3,EN,2025,FW,GS,F,Program Evaluation and Public Policy Analysis,GS,PPAL,N,N,N,C,EN,28,30,30,GS,PPAL,SEMR,1,W,MA,EN,28,30,30,T,19:00,170,9,MK,5050,49,,Course Director:,Section Director: 102022672  Kimakova Alena,Meet Instructor: 102022672  Kimakova Alena,860718
306219,LE,CSSD,1161,,2,2,2,EN,2025,FW,LE,F,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,42,96,96,LE,EECS,LECT,1,W,MA,EN,42,96,96,T,10:00,50,2,MK,2060,100,,Course Director:,Section Director:,Meet Instructor:,893402
306219,LE,CSSD,1161,,2,2,2,EN,2025,FW,LE,F,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,42,96,96,LE,EECS,LAB,1,W,MA,EN,26,48,48,T,11:00,110,2,MK,4005,48,,Course Director:,Section Director:,Meet Instructor:,893399
306219,LE,CSSD,1161,,2,2,2,EN,2025,FW,LE,F,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,42,96,96,LE,EECS,LAB,2,W,MA,EN,16,48,48,T,11:00,110,2,MK,4010,48,,Course Director:,Section Director:,Meet Instructor:,893400
306219,LE,CSSD,1161,,2,2,2,EN,2025,FW,LE,F,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,42,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,T,11:00,110,1,MK,4000,32,,Course Director:,Section Director:,Meet Instructor:,893401
308539,LE,CSSD,2061,,1,1,1,EN,2025,FW,LE,M1,Preparation for the Workplace,LE,EECS,N,N,N,A,EN,50,50,50,LE,EECS,LECT,1,W,MA,EN,50,50,50,T,10:00,50,2,MK,4040,50,,Course Director:,Section Director:,Meet Instructor:,895705
308618,LE,CSSD,2102,,4,4,4,EN,2025,FW,LE,F,Data Structures & Algorithms,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LECT,1,W,MA,EN,74,96,96,T,13:00,80,,MK,2060,100,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor: 102116533  Zhang Larry Yueli,893423
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LECT,1,W,MA,EN,76,96,96,T,14:30,50,,MK,4070,137,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893431
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,1,W,MA,EN,38,48,48,T,15:30,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893425
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,2,W,MA,EN,38,48,48,T,15:30,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893427
308620,LE,CSSD,2103,,0.5,0.5,0.5,EN,2025,FW,LE,M3,Shell Scripting,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,T,15:30,110,1,MK,4000,32,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893429
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LECT,1,W,MA,EN,76,96,96,T,14:30,50,,MK,4070,137,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893439
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,1,W,MA,EN,38,48,48,T,15:30,110,,MK,4005,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893433
308621,LE,CSSD,2104,,2,2,2,EN,2025,FW,LE,M4,Programming in C,LE,EECS,Y,N,N,A,EN,76,96,96,LE,EECS,LAB,2,W,MA,EN,38,48,48,T,15:30,110,,MK,4010,48,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893435
