Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
288075,AP,ADMS,1010,,3,3,3,EN,2025,FW,AP,F,Exploring the Functions of Business,AP,ADMS,N,N,N,K,EN,22,50,50,AP,ADMS,LECT,1,W,MA,EN,22,50,50,W,8:30,170,,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,888580
294224,AP,ADMS,2320,,3,3,3,EN,2025,FW,AP,F,Business Statistics,AP,ADMS,Y,Y,N,L,EN,36,50,50,AP,ADMS,LECT,1,W,MA,EN,36,50,50,W,17:30,170,,MK,4050,50,,Course Director:,Section Director:,Meet Instructor:,889467
297490,AP,ADMS,2400,,3,3,3,EN,2025,FW,AP,F,Introduction to Organizational Behaviour,AP,ADMS,Y,Y,N,K,EN,23,50,50,AP,ADMS,LECT,1,W,MA,EN,23,50,50,W,14:30,170,,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,889468
307753,AP,CMDS,1001,,3,3,3,EN,2025,FW,AP,F,Being a Digital Citizen,AP,CMDS,N,Y,N,A,EN,54,60,60,AP,CMDS,SEMR,1,W,MA,EN,54,60,60,W,11:30,170,,MK,2065,100,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor: 102099763  Chalk Alex,865657
286222,AP,ECON,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Microeconomics,AP,ECON,N,Y,N,I,EN,35,200,200,AP,ECON,TUTR,1,W,MA,EN,35,100,100,W,14:30,50,9,MK,2060,100,,Course Director:,Section Director: 102127968  Li Jinyue,Meet Instructor:,877685
286222,AP,ECON,1000,,3,3,3,EN,2025,FW,AP,F,Introduction to Microeconomics,AP,ECON,N,Y,N,I,EN,35,200,200,AP,ECON,TUTR,2,W,MA,EN,0,100,100,W,15:30,50,9,MK,2060,100,,Course Director:,Section Director: 102127968  Li Jinyue,Meet Instructor:,877695
306038,AP,FINT,1210,,3,3,3,EN,2025,FW,AP,F,Introduction to Computer Programming for Financial Technologies,AP,ITEC,Y,N,N,A,EN,6,35,35,AP,ITEC,LAB,1,W,MA,EN,6,35,35,W,19:00,170,,MK,4025,50,,Course Director:,Section Director: 102132158  Xue Liang,Meet Instructor: 102132158  Xue Liang,865526
286673,AP,MODR,1770,,6,6,6,EN,2025,FW,AP,Y,Modes of Reasoning: Techniques of Persuasion,AP,PHIL,N,N,N,F,EN,48,48,48,AP,PHIL,LECT,1,W,MA,EN,48,48,48,W,17:30,170,,MK,5070,50,,Course Director:,Section Director:,Meet Instructor:,898796
307909,AP,SPRT,1010,,3,3,3,EN,2025,FW,AP,F,Introduction to Sport Management,AP,HRM,N,Y,N,A,EN,55,70,70,AP,HRM,LECT,1,W,MA,EN,55,70,70,W,14:30,170,,MK,2055,100,,Course Director:,Section Director: 102132474  Wigfield Daniel,Meet Instructor: 102132474  Wigfield Daniel,865776
308778,ED,EDFE,2000,,6,6,6,EN,2025,FW,ED,Y,Foundations of Education & Theory Into Practice,ED,ED,N,N,N,W,EN,45,45,45,ED,ED,BLEN,1,W,MA,EN,45,45,45,W,8:30,110,,MK,4095,50,,Course Director:,Section Director:,Meet Instructor:,898291
