Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
288059,AP,ADMS,2200,,3,3,3,EN,2025,FW,AP,W,Introductory Marketing,AP,ADMS,N,Y,N,X,EN,39,50,50,AP,ADMS,LECT,1,W,MA,EN,39,50,50,M,14:30,170,,MK,4050,50,,Course Director:,Section Director: 102107585  Lim Hyunwoo,Meet Instructor: 102107585  Lim Hyunwoo,889466
297768,AP,ADMS,2510,,3,3,3,EN,2025,FW,AP,W,Introduction to Management Accounting,AP,ADMS,Y,Y,N,X,EN,53,60,60,AP,ADMS,LECT,1,W,MA,EN,53,60,60,M,14:30,170,,MK,2065,100,,Course Director:,Section Director:,Meet Instructor:,889470
288050,AP,ADMS,2610,,3,3,3,EN,2025,FW,AP,W,Elements of Law: Part One,AP,ADMS,Y,N,N,X,EN,60,60,60,AP,ADMS,LECT,1,W,MA,EN,60,60,60,W,14:30,170,,MK,2055,100,,Course Director:,Section Director: 102080159  Lai Poland,Meet Instructor: 102080159  Lai Poland,889472
304568,AP,ADMS,3920,,3,3,3,EN,2025,FW,AP,W,New Venture and Small Business Management,AP,ADMS,Y,N,N,X,EN,38,50,50,AP,ADMS,LECT,1,W,MA,EN,38,50,50,W,8:30,170,,MK,4050,50,,Course Director:,Section Director:,Meet Instructor:,889475
305752,AP,CMDS,1000,,6,6,6,EN,2025,FW,AP,Y,Introduction to Communication & Media,AP,CMDS,N,N,N,B,EN,48,49,49,AP,CMDS,SEMR,1,W,MA,EN,48,49,49,T,11:30,170,,MK,5050,49,,Course Director:,Section Director: 102019712  Taylor Nicholas,Meet Instructor: 102019712  Taylor Nicholas,865656
307754,AP,CMDS,1002,,3,3,3,EN,2025,FW,AP,W,Mobilizing Digital Citizenship,AP,CMDS,N,N,Y,M,EN,40,60,60,AP,CMDS,SEMR,1,W,MA,EN,40,60,60,R,14:30,170,,MK,2060,100,,Course Director:,Section Director: 102099763  Chalk Alex,Meet Instructor: 102099763  Chalk Alex,865658
305629,AP,CMDS,2150,,3,3,3,EN,2025,FW,AP,W,Introduction to Research Methods in Communication and Media Studies,AP,CMDS,N,N,N,N,EN,25,49,49,AP,CMDS,SEMR,1,W,MA,EN,25,49,49,R,14:30,170,,MK,5050,49,,Course Director:,Section Director: 102127856  Laywine Nathaniel,Meet Instructor: 102127856  Laywine Nathaniel,865666
305631,AP,CMDS,2200,,3,3,3,EN,2025,FW,AP,W,"Introduction to Politics, Policy and the Media",AP,CMDS,N,N,N,M,EN,23,49,49,AP,CMDS,SEMR,1,W,MA,EN,23,49,49,M,14:30,170,,MK,5070,50,,Course Director:,Section Director: 102019712  Taylor Nicholas,Meet Instructor: 102019712  Taylor Nicholas,865667
305627,AP,CMDS,2500,,3,3,3,EN,2025,FW,AP,W,Information and Technology,AP,CMDS,N,N,N,M,EN,20,49,49,AP,CMDS,SEMR,1,W,MA,EN,20,49,49,T,11:30,170,,MK,4050,50,,Course Director:,Section Director: 102117072  Singh Rianka,Meet Instructor: 102117072  Singh Rianka,865668
300498,AP,ECON,1010,,3,3,3,EN,2025,FW,AP,W,Introduction to Macroeconomics,AP,ECON,N,Y,N,T,EN,35,200,200,AP,ECON,BLEN,1,W,MA,EN,35,200,200,,0:00,0,0,,,,,Course Director: 102058641  Kabir Mir Ahsan,Section Director: 102127968  Li Jinyue,Meet Instructor: 102127968  Li Jinyue,877999
300498,AP,ECON,1010,,3,3,3,EN,2025,FW,AP,W,Introduction to Macroeconomics,AP,ECON,N,Y,N,T,EN,35,200,200,AP,ECON,TUTR,1,W,MA,EN,35,100,100,W,14:30,50,9,MK,2060,100,,Course Director: 102058641  Kabir Mir Ahsan,Section Director: 102127968  Li Jinyue,Meet Instructor:,877738
